"year","recuperacion","ponderador","captura","biomasa","reduccion"
2021,6,"1.5 Fmrs",26817.2,140617.5,0.3150605
2022,7,"1.5 Fmrs",27004.95,139449.5,0.3136795
2023,8,"1.5 Fmrs",27125.7,138427,0.3104445
2024,9,"1.5 Fmrs",27124,137426.5,0.308485
2025,10,"1.5 Fmrs",27184.9,137298,0.308661
2026,11,"1.5 Fmrs",27187.65,137704.5,0.3099255
2027,12,"1.5 Fmrs",27137.05,138586,0.311883
2028,13,"1.5 Fmrs",27194.85,139316,0.313247
2029,14,"1.5 Fmrs",27238.95,139959,0.3141
2030,15,"1.5 Fmrs",27329.5,140432.5,0.315486
2031,16,"1.5 Fmrs",27463.05,140877.5,0.3162305
2032,17,"1.5 Fmrs",27513.5,141175.5,0.316842
2033,18,"1.5 Fmrs",27537.6,141255,0.317293
2034,19,"1.5 Fmrs",27580.55,141324,0.3176875
2035,20,"1.5 Fmrs",27535.8,141318.5,0.317368
2036,21,"1.5 Fmrs",27568.6,141327,0.317489
2037,22,"1.5 Fmrs",27581,141302,0.3176045
2038,23,"1.5 Fmrs",27604.25,141391.5,0.3177865
2039,24,"1.5 Fmrs",27604.25,141391.5,0.3177865
2040,25,"1.5 Fmrs",27604.25,141391.5,0.3177865
2041,26,"1.5 Fmrs",27604.25,141391.5,0.3177865
2042,27,"1.5 Fmrs",27604.25,141391.5,0.3177865
2043,28,"1.5 Fmrs",27604.25,141391.5,0.3177865
2044,29,"1.5 Fmrs",27604.25,141391.5,0.3177865
2045,30,"1.5 Fmrs",27604.25,141391.5,0.3177865
2046,31,"1.5 Fmrs",27604.25,141391.5,0.3177865
2047,32,"1.5 Fmrs",27604.25,141391.5,0.3177865
2048,33,"1.5 Fmrs",27604.25,141391.5,0.3177865
2049,34,"1.5 Fmrs",27604.25,141391.5,0.3177865
2050,35,"1.5 Fmrs",27604.25,141391.5,0.3177865
2051,36,"1.5 Fmrs",27604.25,141391.5,0.3177865
2052,37,"1.5 Fmrs",27604.25,141391.5,0.3177865
2053,38,"1.5 Fmrs",27604.25,141391.5,0.3177865
2054,39,"1.5 Fmrs",27604.25,141391.5,0.3177865
2055,40,"1.5 Fmrs",27604.25,141391.5,0.3177865
2056,41,"1.5 Fmrs",27604.25,141391.5,0.3177865
2057,42,"1.5 Fmrs",27604.25,141391.5,0.3177865
2058,43,"1.5 Fmrs",27604.25,141391.5,0.3177865
2059,44,"1.5 Fmrs",27604.25,141391.5,0.3177865
2060,45,"1.5 Fmrs",27604.25,141391.5,0.3177865
2061,46,"1.5 Fmrs",27604.25,141391.5,0.3177865
2062,47,"1.5 Fmrs",27604.25,141391.5,0.3177865
2063,48,"1.5 Fmrs",27604.25,141391.5,0.3177865
2064,49,"1.5 Fmrs",27604.25,141391.5,0.3177865
